eval_id,condition_index,v_max,condition_label,method,stage,label,repeat_idx,theta_hash,query_id,cache_tag,query_total_wall_time_s,projection_linf,robustness_post_neutral_alt_drift,robustness_post_neutral_xy_drift,robustness_post_neutral_xy_velocity
16,1,1.0,v1000,structured,coarse_candidate,015_oscillate_pitch_phase1,0,7f0b5206e8f5aa36,7f0b5206e8f5aa36_px4_position_0_h2_structured_v1000_coarse_candidate_00016_015_oscillate_pitch_phase1_repeat0,h2_structured_v1000_coarse_candidate_00016_015_oscillate_pitch_phase1_repeat0,21.036987494007917,0.0,0.9937605857849121,1.9466242471853545,0.9598938515854795
17,1,1.0,v1000,structured,coarse_candidate,016_ramp_then_hold_roll_pos,0,97f73f31d86df94f,97f73f31d86df94f_px4_position_0_h2_structured_v1000_coarse_candidate_00017_016_ramp_then_hold_roll_pos_repeat0,h2_structured_v1000_coarse_candidate_00017_016_ramp_then_hold_roll_pos_repeat0,18.62460268099676,0.0,0.9907407760620117,-1.7265334473135865,-2.087594543238885
18,1,1.0,v1000,structured,coarse_candidate,017_ramp_then_hold_pitch_neg,0,423d9f54ff32c82b,423d9f54ff32c82b_px4_position_0_h2_structured_v1000_coarse_candidate_00018_017_ramp_then_hold_pitch_neg_repeat0,h2_structured_v1000_coarse_candidate_00018_017_ramp_then_hold_pitch_neg_repeat0,18.426398170005996,0.0,0.9860877990722656,-1.3341315526105446,-1.8709440344152282
19,1,1.0,v1000,structured,coarse_candidate,018_late_step_pitch_pos_w8_w9,0,2b64842299ddb4d8,2b64842299ddb4d8_px4_position_0_h2_structured_v1000_coarse_candidate_00019_018_late_step_pitch_pos_w8_w9_repeat0,h2_structured_v1000_coarse_candidate_00019_018_late_step_pitch_pos_w8_w9_repeat0,18.54520976601634,0.0,0.9846086502075195,1.860537721984007,0.7274666554733076
20,1,1.0,v1000,structured,coarse_candidate,019_late_step_throttle_neg_w8_w9,0,dcf7135039aeae54,dcf7135039aeae54_px4_position_0_h2_structured_v1000_coarse_candidate_00020_019_late_step_throttle_neg_w8_w9_repeat0,h2_structured_v1000_coarse_candidate_00020_019_late_step_throttle_neg_w8_w9_repeat0,18.26988549300586,0.0,0.9008746147155762,1.962260548097053,0.9568319470426746
21,1,1.0,v1000,structured,coarse_candidate,020_random_block_001,0,185ec3be55517623,185ec3be55517623_px4_position_0_h2_structured_v1000_coarse_candidate_00021_020_random_block_001_repeat0,h2_structured_v1000_coarse_candidate_00021_020_random_block_001_repeat0,20.60295091199805,0.0,0.9750094413757324,0.3161617266649359,-0.5516474596195649
22,1,1.0,v1000,structured,coarse_candidate,021_random_projected_002,0,51664a7becaa6eb6,51664a7becaa6eb6_px4_position_0_h2_structured_v1000_coarse_candidate_00022_021_random_projected_002_repeat0,h2_structured_v1000_coarse_candidate_00022_021_random_projected_002_repeat0,18.571618448011577,0.0,0.8278117179870605,0.9025549759839591,-0.18927382313437713
23,1,1.0,v1000,structured,coarse_candidate,022_random_walk_003,0,d99a9aedff4f8c58,d99a9aedff4f8c58_px4_position_0_h2_structured_v1000_coarse_candidate_00023_022_random_walk_003_repeat0,h2_structured_v1000_coarse_candidate_00023_022_random_walk_003_repeat0,20.321831151028164,0.0,0.9610650539398193,-1.6257956063729244,-2.2574843175082093
24,1,1.0,v1000,structured,coarse_candidate,023_random_block_004,0,88f40499a8a2f28b,88f40499a8a2f28b_px4_position_0_h2_structured_v1000_coarse_candidate_00024_023_random_block_004_repeat0,h2_structured_v1000_coarse_candidate_00024_023_random_block_004_repeat0,20.25486816497869,0.0,0.9230008125305176,0.43255247142527975,-0.6772317005900588
25,1,1.0,v1000,structured,coarse_candidate,024_random_projected_005,0,cac64665a6e21f87,cac64665a6e21f87_px4_position_0_h2_structured_v1000_coarse_candidate_00025_024_random_projected_005_repeat0,h2_structured_v1000_coarse_candidate_00025_024_random_projected_005_repeat0,17.28255747401272,0.0,0.6516313552856445,-0.7619765665224203,-1.474909367429123
26,1,1.0,v1000,structured,coarse_candidate,025_random_walk_006,0,9a500122d07a29b0,9a500122d07a29b0_px4_position_0_h2_structured_v1000_coarse_candidate_00026_025_random_walk_006_repeat0,h2_structured_v1000_coarse_candidate_00026_025_random_walk_006_repeat0,20.5547954349895,0.0,0.7156200408935547,-0.9059823872633714,-1.3217385887064004
27,1,1.0,v1000,structured,coarse_candidate,026_random_block_007,0,15d64144118363b0,15d64144118363b0_px4_position_0_h2_structured_v1000_coarse_candidate_00027_026_random_block_007_repeat0,h2_structured_v1000_coarse_candidate_00027_026_random_block_007_repeat0,20.277471544977743,0.0,0.9876933097839355,1.5598747608521966,0.40944439100582897
28,1,1.0,v1000,structured,coarse_candidate,027_random_projected_008,0,9497af9e9158bf9a,9497af9e9158bf9a_px4_position_0_h2_structured_v1000_coarse_candidate_00028_027_random_projected_008_repeat0,h2_structured_v1000_coarse_candidate_00028_027_random_projected_008_repeat0,17.55291358398972,0.0,0.991950511932373,1.3461210814817277,0.002990835664151259
29,1,1.0,v1000,structured,coarse_candidate,028_random_walk_009,0,929f21b935c0b627,929f21b935c0b627_px4_position_0_h2_structured_v1000_coarse_candidate_00029_028_random_walk_009_repeat0,h2_structured_v1000_coarse_candidate_00029_028_random_walk_009_repeat0,20.592245592008112,0.0,0.32266807556152344,1.2264153849631971,0.6254242953141163
30,1,1.0,v1000,structured,coarse_candidate,029_random_block_010,0,843beec1f096defb,843beec1f096defb_px4_position_0_h2_structured_v1000_coarse_candidate_00030_029_random_block_010_repeat0,h2_structured_v1000_coarse_candidate_00030_029_random_block_010_repeat0,20.333190689998446,0.0,0.9162788391113281,0.10078490697184983,-0.8147376841719074
31,1,1.0,v1000,structured,coarse_candidate,030_random_projected_011,0,639c387b3163e2c0,639c387b3163e2c0_px4_position_0_h2_structured_v1000_coarse_candidate_00031_030_random_projected_011_repeat0,h2_structured_v1000_coarse_candidate_00031_030_random_projected_011_repeat0,17.14318282000022,0.0,0.9227509498596191,-0.4615226827564616,-1.2408219575635169
32,1,1.0,v1000,structured,coarse_candidate,031_random_walk_012,0,c7df3b35eb633d77,c7df3b35eb633d77_px4_position_0_h2_structured_v1000_coarse_candidate_00032_031_random_walk_012_repeat0,h2_structured_v1000_coarse_candidate_00032_031_random_walk_012_repeat0,20.381369217007887,0.0,0.33484649658203125,-2.3853481204521367,-2.4939797637185532
33,1,1.0,v1000,structured,coarse_candidate,032_random_block_013,0,0ec75936dfee8807,0ec75936dfee8807_px4_position_0_h2_structured_v1000_coarse_candidate_00033_032_random_block_013_repeat0,h2_structured_v1000_coarse_candidate_00033_032_random_block_013_repeat0,20.406518080009846,0.0,0.9883270263671875,-0.3295066620131397,-1.2481298143757145
34,1,1.0,v1000,structured,coarse_candidate,033_random_projected_014,0,babacc021721c1aa,babacc021721c1aa_px4_position_0_h2_structured_v1000_coarse_candidate_00034_033_random_projected_014_repeat0,h2_structured_v1000_coarse_candidate_00034_033_random_projected_014_repeat0,20.254250324011082,0.0,0.9897737503051758,0.44538203979285873,-0.46194646249139004
