query_id,cache_tag,maneuver,axis,C_track_available,C_track_axis,baseline_nte_median,nte_threshold,peak_err_threshold_radps,high_err_duration_threshold_s,baseline_ratio_threshold,overlap_threshold_s,active_window_available,C_track_status,C_track_safe,C_track_violation,C_track_unavailable_reason,active_window_start_s,active_window_end_s,rms_sp,rms_err,nte,peak_err,high_err_duration_s,saturation_error_overlap_s,explicit_limit_or_saturation_during_high_error,baseline_ratio_ok,raw_log_path,nonlinear_observable,nonlinear_activated_in_active_window
0535b6bad6bfc1e8_px4_acro_roll_0_paramse298f3d3f5_Hboundary_roll_Hscale_0p6_Mstrong_P0_pulse_train_A1p0_repeat3_repeat0,Hboundary_roll_Hscale_0p6_Mstrong_P0_pulse_train_A1p0_repeat3_repeat0,pulse_train_A1p0_repeat3,roll,True,roll,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1781006887.363,1781006888.963,0.6759631160828028,0.3006647461157733,0.44479460337735804,0.889317125082016,0.0,0.0,False,False,runs/mantis_Hboundary_px4_seed0_v0/queries/0535b6bad6bfc1e8_px4_acro_roll_0_paramse298f3d3f5_Hboundary_roll_Hscale_0p6_Mstrong_P0_pulse_train_A1p0_repeat3_repeat0/raw_log.ulg,True,True
1a893b15d861806e_px4_acro_roll_0_paramse298f3d3f5_Hboundary_roll_Hscale_0p6_Mstrong_P0_reversal_A0p9_fast_repeat0,Hboundary_roll_Hscale_0p6_Mstrong_P0_reversal_A0p9_fast_repeat0,reversal_A0p9_fast,roll,True,roll,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1781006926.806,1781006928.838,1.064402819254319,0.2424247081993315,0.22775654462204944,0.8941413760185242,0.0,0.0,False,False,runs/mantis_Hboundary_px4_seed0_v0/queries/1a893b15d861806e_px4_acro_roll_0_paramse298f3d3f5_Hboundary_roll_Hscale_0p6_Mstrong_P0_reversal_A0p9_fast_repeat0/raw_log.ulg,True,True
7b6436b0c98f6238_px4_stabilized_pitch_0_params8a0e7f383b_Hboundary_pitch_Hscale_0p55_M0_hover_no_input_repeat0,Hboundary_pitch_Hscale_0p55_M0_hover_no_input_repeat0,hover_no_input,pitch,True,pitch,,0.65,1.0,0.25,2.5,0.2,False,safe,True,False,,1781006889.309,1781006889.309,0.0,0.0,0.0,0.0,0.0,0.0,False,False,runs/mantis_Hboundary_px4_seed0_v0/queries/7b6436b0c98f6238_px4_stabilized_pitch_0_params8a0e7f383b_Hboundary_pitch_Hscale_0p55_M0_hover_no_input_repeat0/raw_log.ulg,,
8534bb1a14ed0591_px4_stabilized_pitch_0_params8a0e7f383b_Hboundary_pitch_Hscale_0p55_Msmall_small_step_pitch_repeat0,Hboundary_pitch_Hscale_0p55_Msmall_small_step_pitch_repeat0,small_step_pitch,pitch,True,pitch,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1781007003.163,1781007003.363,0.5079695106767989,0.31735651471262843,0.6247550454156096,0.7535079792141914,0.0,0.0,False,False,runs/mantis_Hboundary_px4_seed0_v0/queries/8534bb1a14ed0591_px4_stabilized_pitch_0_params8a0e7f383b_Hboundary_pitch_Hscale_0p55_Msmall_small_step_pitch_repeat0/raw_log.ulg,True,True
f6e2f9116e805112_px4_stabilized_pitch_0_params8a0e7f383b_Hboundary_pitch_Hscale_0p55_Mstrong_P0_pulse_train_A0p7_repeat3_repeat0,Hboundary_pitch_Hscale_0p55_Mstrong_P0_pulse_train_A0p7_repeat3_repeat0,pulse_train_A0p7_repeat3,pitch,True,pitch,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1781007041.913,1781007043.109,1.0003383912099941,0.7278519385845381,0.7276057232034646,2.3941747546195984,0.2199997901916504,0.2199997901916504,True,False,runs/mantis_Hboundary_px4_seed0_v0/queries/f6e2f9116e805112_px4_stabilized_pitch_0_params8a0e7f383b_Hboundary_pitch_Hscale_0p55_Mstrong_P0_pulse_train_A0p7_repeat3_repeat0/raw_log.ulg,True,True
f6e2f9116e805112_px4_stabilized_pitch_0_params8a0e7f383b_Hboundary_pitch_Hscale_0p55_Mstrong_P0_pulse_train_A1p0_repeat3_repeat0,Hboundary_pitch_Hscale_0p55_Mstrong_P0_pulse_train_A1p0_repeat3_repeat0,pulse_train_A1p0_repeat3,pitch,True,pitch,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1781007080.38,1781007081.568,0.9594058637004429,0.7629184909479358,0.7951989036270298,2.4048701524734497,0.16000008583068848,0.16000008583068848,True,False,runs/mantis_Hboundary_px4_seed0_v0/queries/f6e2f9116e805112_px4_stabilized_pitch_0_params8a0e7f383b_Hboundary_pitch_Hscale_0p55_Mstrong_P0_pulse_train_A1p0_repeat3_repeat0/raw_log.ulg,True,True
1c2d1caedf9d81b3_px4_stabilized_pitch_0_params8a0e7f383b_Hboundary_pitch_Hscale_0p55_Mstrong_P0_strong_doublet_A0p9_hold2_repeat0,Hboundary_pitch_Hscale_0p55_Mstrong_P0_strong_doublet_A0p9_hold2_repeat0,strong_doublet_A0p9_hold2,pitch,True,pitch,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1781007125.981,1781007127.577,0.8124293377314351,0.5087339674227337,0.6261885727111764,1.8863330986350775,0.07599997520446777,0.07599997520446777,True,False,runs/mantis_Hboundary_px4_seed0_v0/queries/1c2d1caedf9d81b3_px4_stabilized_pitch_0_params8a0e7f383b_Hboundary_pitch_Hscale_0p55_Mstrong_P0_strong_doublet_A0p9_hold2_repeat0/raw_log.ulg,True,True
f6e2f9116e805112_px4_stabilized_pitch_0_params8a0e7f383b_Hboundary_pitch_Hscale_0p55_Mstrong_P0_pulse_train_A0p9_repeat3_repeat0,Hboundary_pitch_Hscale_0p55_Mstrong_P0_pulse_train_A0p9_repeat3_repeat0,pulse_train_A0p9_repeat3,pitch,True,pitch,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1781007180.421,1781007182.229,0.8511919991844038,0.6203495832276952,0.7288010035598343,2.2317278385162354,0.11999988555908203,0.11999988555908203,True,False,runs/mantis_Hboundary_px4_seed0_v0/queries/f6e2f9116e805112_px4_stabilized_pitch_0_params8a0e7f383b_Hboundary_pitch_Hscale_0p55_Mstrong_P0_pulse_train_A0p9_repeat3_repeat0/raw_log.ulg,True,True
7b6436b0c98f6238_px4_acro_roll_0_paramsac7a7cb0ee_Hboundary_roll_Hscale_0p55_M0_hover_no_input_repeat0,Hboundary_roll_Hscale_0p55_M0_hover_no_input_repeat0,hover_no_input,roll,True,roll,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1781007134.948,1781007136.808,0.06907133883865904,0.06912214274024384,0.27648857096097534,0.19150721305049956,0.0,0.0,False,False,runs/mantis_Hboundary_px4_seed0_v0/queries/7b6436b0c98f6238_px4_acro_roll_0_paramsac7a7cb0ee_Hboundary_roll_Hscale_0p55_M0_hover_no_input_repeat0/raw_log.ulg,True,True
77ddc9e0aa4f00eb_px4_acro_roll_0_paramsac7a7cb0ee_Hboundary_roll_Hscale_0p55_Msmall_small_step_roll_repeat0,Hboundary_roll_Hscale_0p55_Msmall_small_step_roll_repeat0,small_step_roll,roll,True,roll,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1781007260.517,1781007260.717,0.3490658700466156,0.010181526526930015,0.02916792330791416,0.01852559380587443,0.0,0.0,False,False,runs/mantis_Hboundary_px4_seed0_v0/queries/77ddc9e0aa4f00eb_px4_acro_roll_0_paramsac7a7cb0ee_Hboundary_roll_Hscale_0p55_Msmall_small_step_roll_repeat0/raw_log.ulg,True,True
