candidate_id,H_id,param_overrides_json,maneuver,C_recover_status,C_recover_violation,C_track_status,C_track_violation,violation_contract,nonlinear_observable,nonlinear_activated,saturation_error_overlap_s,candidate_status,contract_class,tier1_robustness_class,tier2_robustness_class,threshold_mean,tail_start_peak_abs_rate_mean,terminal_peak_abs_rate_mean,rho_tier1_mean,rho_tier1_std,nondecay_ratio_margin_mean,nondecay_slope_margin_mean,terminal_peak_over_threshold,terminal_over_start_peak
rate_d_low_x0p35,H3,"{""MC_PITCHRATE_D"": 0.0008925000322051346}",pulse_train_A1p0_repeat3,safe,False,safe,False,,True,True,0.18000006675720215,NO_WITNESS_FOUND,safe,robust_safe,not_tier1_violation,0.35,0.028046660125255585,0.028691696003079414,0.32130830399692056,0.0,0.006254367902874945,-0.00015281795393808808,0.08197627429451262,1.0229986698930682
rate_d_low_x0p35,H3,"{""MC_PITCHRATE_D"": 0.0008925000322051346}",strong_doublet_A0p7_hold1,safe,False,safe,False,,True,True,0.0,NO_WITNESS_FOUND,safe,robust_safe,not_tier1_violation,0.35,0.02524939738214016,0.02583271637558937,0.3241672836244106,0.0,0.00563319846987724,0.0001805559675598747,0.07380776107311249,1.0231022936754053
rate_d_low_x0p35,H3,"{""MC_PITCHRATE_D"": 0.0008925000322051346}",strong_step_pitch_0p7,safe,False,safe,False,,True,True,0.0,NO_WITNESS_FOUND,safe,robust_safe,not_tier1_violation,0.35,0.026664836332201958,0.022104011848568916,0.32789598815143106,0.0,0.0007721427828073502,-4.79648877540968e-05,0.06315431956733976,0.82895734191606
rate_d_low_x0p35,H3,"{""MC_PITCHRATE_D"": 0.0008925000322051346}",pulse_train_A0p7_repeat3,safe,False,safe,False,,True,True,0.2760000228881836,NO_WITNESS_FOUND,safe,robust_safe,not_tier1_violation,0.35,0.02484278567135334,0.025830507278442383,0.3241694927215576,0.0,0.005956278741359709,4.013613036291022e-05,0.07380144936697824,1.0397588909776734
rate_d_high_x1p188,H3,"{""MC_PITCHRATE_D"": 0.003028125109267421}",strong_step_A0p9_hold2,safe,False,safe,False,,True,True,0.17999982833862305,NO_WITNESS_FOUND,safe,robust_safe,not_tier1_violation,0.35,0.06342414021492004,0.04709502309560776,0.3029049769043922,0.0,-0.003644289076328279,-0.0014322470697958715,0.1345572088445936,0.7425409778677459
rate_d_high_x1p188,H3,"{""MC_PITCHRATE_D"": 0.003028125109267421}",strong_doublet_A0p9_hold2,safe,False,safe,False,,True,True,0.11999964714050293,NO_WITNESS_FOUND,safe,robust_safe,not_tier1_violation,0.35,0.033110130578279495,0.037899695336818695,0.3121003046631813,0.0,0.011411590874195097,0.00024252231779853242,0.10828484381948199,1.1446555683981867
rate_d_high_x1p188,H3,"{""MC_PITCHRATE_D"": 0.003028125109267421}",pulse_train_A0p9_repeat3,safe,False,safe,False,,True,True,0.18000006675720215,NO_WITNESS_FOUND,safe,robust_safe,not_tier1_violation,0.35,0.05408921092748642,0.06579606235027313,0.28420393764972685,0.0,0.02252469360828399,0.0014349270373489045,0.18798874957220896,1.216435980892405
rate_d_high_x1p188,H3,"{""MC_PITCHRATE_D"": 0.003028125109267421}",reversal_A0p9_fast,safe,False,safe,False,,True,True,0.37600040435791016,NO_WITNESS_FOUND,safe,robust_safe,not_tier1_violation,0.35,0.24979250133037567,0.04012467339634895,0.309875326603651,0.0,-0.1597093276679516,-0.007630190768253299,0.11464192398956845,0.16063201730495522
rate_d_high_x1p188,H3,"{""MC_PITCHRATE_D"": 0.003028125109267421}",pulse_train_A1p0_repeat3,safe,False,safe,False,,True,True,0.09600019454956055,NO_WITNESS_FOUND,safe,robust_safe,not_tier1_violation,0.35,0.19318601489067078,0.059420373290777206,0.29057962670922277,0.0,-0.09512843862175943,-0.00500994915011475,0.16977249511650633,0.3075811327460987
rate_d_high_x1p188,H3,"{""MC_PITCHRATE_D"": 0.003028125109267421}",strong_doublet_A0p7_hold1,safe,False,safe,False,,True,True,0.039999961853027344,NO_WITNESS_FOUND,safe,robust_safe,not_tier1_violation,0.35,0.053046856075525284,0.05242827907204628,0.2975717209279537,0.0,0.009990794211626047,6.345678100081679e-05,0.1497950830629894,0.9883390449643555
rate_d_high_x1p188,H3,"{""MC_PITCHRATE_D"": 0.003028125109267421}",strong_step_pitch_0p7,safe,False,safe,False,,True,True,0.0,NO_WITNESS_FOUND,safe,robust_safe,not_tier1_violation,0.35,0.03454333543777466,0.044395480304956436,0.30560451969504354,0.0,0.016760811954736707,0.000658081776622429,0.1268442294427327,1.2852111627995257
rate_d_high_x1p188,H3,"{""MC_PITCHRATE_D"": 0.003028125109267421}",pulse_train_A0p7_repeat3,safe,False,safe,False,,True,True,0.20399999618530273,NO_WITNESS_FOUND,safe,robust_safe,not_tier1_violation,0.35,0.222318634390831,0.05977490916848183,0.29022509083151815,0.0,-0.11807999834418298,-0.012580846747286002,0.17078545476709095,0.2688704405380564
