cell_id,probe_label,repeat_idx,measured_axis,peak,threshold,rho,query_id,theta_hash,cache_tag,query_retry_count
G04,yaw_plus_full,0,yaw_rate,0.0209841225296258,0.26179938779914946,0.24081526526952365,2179b4bc58a97941_px4_position_0_contract_grid_G04_yaw_plus_full_repeat0,2179b4bc58a97941,contract_grid_G04_yaw_plus_full_repeat0,0
G04,yaw_plus_full,1,yaw_rate,0.0130304303020238,0.26179938779914946,0.24876895749712566,2179b4bc58a97941_px4_position_0_contract_grid_G04_yaw_plus_full_repeat1,2179b4bc58a97941,contract_grid_G04_yaw_plus_full_repeat1,0
G04,yaw_plus_full,2,yaw_rate,0.0173489339649677,0.26179938779914946,0.24445045383418176,2179b4bc58a97941_px4_position_0_contract_grid_G04_yaw_plus_full_repeat2,2179b4bc58a97941,contract_grid_G04_yaw_plus_full_repeat2,0
G04,yaw_plus_full,3,yaw_rate,0.0218588542193174,0.26179938779914946,0.23994053357983205,2179b4bc58a97941_px4_position_0_contract_grid_G04_yaw_plus_full_repeat3,2179b4bc58a97941,contract_grid_G04_yaw_plus_full_repeat3,0
G04,yaw_plus_full,4,yaw_rate,0.0152437137439847,0.26179938779914946,0.24655567405516476,2179b4bc58a97941_px4_position_0_contract_grid_G04_yaw_plus_full_repeat4,2179b4bc58a97941,contract_grid_G04_yaw_plus_full_repeat4,0
G04,yaw_minus_full,0,yaw_rate,0.0198357068002223,0.26179938779914946,0.24196368099892718,77d98d619068d70e_px4_position_0_contract_grid_G04_yaw_minus_full_repeat0,77d98d619068d70e,contract_grid_G04_yaw_minus_full_repeat0,0
G04,yaw_minus_full,1,yaw_rate,0.02032813988626,0.26179938779914946,0.24147124791288946,77d98d619068d70e_px4_position_0_contract_grid_G04_yaw_minus_full_repeat1,77d98d619068d70e,contract_grid_G04_yaw_minus_full_repeat1,0
G04,yaw_minus_full,2,yaw_rate,0.0177962835878133,0.26179938779914946,0.24400310421133617,77d98d619068d70e_px4_position_0_contract_grid_G04_yaw_minus_full_repeat2,77d98d619068d70e,contract_grid_G04_yaw_minus_full_repeat2,0
G04,yaw_minus_full,3,yaw_rate,0.0176061447709798,0.26179938779914946,0.24419324302816967,77d98d619068d70e_px4_position_0_contract_grid_G04_yaw_minus_full_repeat3,77d98d619068d70e,contract_grid_G04_yaw_minus_full_repeat3,0
G04,yaw_minus_full,4,yaw_rate,0.0249524004757404,0.26179938779914946,0.23684698732340906,77d98d619068d70e_px4_position_0_contract_grid_G04_yaw_minus_full_repeat4,77d98d619068d70e,contract_grid_G04_yaw_minus_full_repeat4,0
G05,zero_anchor,0,tilt,0.002277963223148954,0.061086523819801536,0.058808560596652584,7b6436b0c98f6238_px4_position_0_contract_grid_G05_zero_anchor_repeat0,7b6436b0c98f6238,contract_grid_G05_zero_anchor_repeat0,0
G05,zero_anchor,1,tilt,0.004966815768064813,0.061086523819801536,0.05611970805173672,7b6436b0c98f6238_px4_position_0_contract_grid_G05_zero_anchor_repeat1,7b6436b0c98f6238,contract_grid_G05_zero_anchor_repeat1,0
