seed,eval_id,label,theta_hash,active_channels,active_channel_count,support,duration_support_over_active_channels_windows,duration_label_d_windows,duration_crosscheck_match,max_abs_theta,rho_mean_xy_velocity,rho_std_xy_velocity,probe_groups_csv_present
1,201,env0209_deg045_w00_d08_iter03_a0p4375,f7e7321cbb169b89,"pitch,roll",2,18,9.0,8,False,0.4375,-0.3438890455962349,0.05511959017289152,True
1,202,env0209_deg045_w00_d08_iter04_a0p4062,a404d2f10693c4ad,"pitch,roll",2,18,9.0,8,False,0.40625,-0.1790253370816448,0.02750154547751046,True
1,203,env0209_deg045_w00_d08_iter05_a0p3906,b0d77030fe8606c8,"pitch,roll",2,18,9.0,8,False,0.390625,-0.08877268611259584,0.044271432622322034,True
1,206,env0220_deg180_w00_d10_iter00_a0p5000,6d8d5519d65779f3,roll,1,10,10.0,10,True,0.5,-1.0234390040631722,0.04435753122867078,True
1,208,env0220_deg180_w00_d10_iter02_a0p3750,f824fc82ef772d55,roll,1,10,10.0,10,True,0.375,-0.20937514554463985,0.023309312094024506,True
1,210,env0220_deg180_w00_d10_iter04_a0p3438,eab9d2b77a573692,roll,1,10,10.0,10,True,0.34375,-0.047969015310713556,0.019602172248918494,True
2,166,env0186_deg090_w04_d05_iter00_a0p5000,817298a5766fef11,pitch,1,6,6.0,5,False,0.5,-0.26498246409130777,0.04675279685405491,True
2,171,env0186_deg090_w04_d05_iter05_a0p4531,72c1112f65d176a9,pitch,1,6,6.0,5,False,0.453125,-0.0347185486764217,0.010609550547624379,True
2,172,env0186_deg090_w04_d05_iter06_a0p4453,9660f28a2490cba8,pitch,1,6,6.0,5,False,0.4453125,-0.022429553675112547,0.009564925649428018,True
2,201,env0213_deg225_w00_d08_iter00_a0p5000,593b67cf76c69c91,"pitch,roll",2,18,9.0,8,False,0.5,-0.8343360061291273,0.03001060726663016,True
2,235,env0212_deg180_w00_d08_iter00_a0p5000,e154e054af86715b,roll,1,9,9.0,8,False,0.5,-0.2593144249634614,0.04280735110086187,True
2,239,env0212_deg180_w00_d08_iter04_a0p4688,45dc8e92e34a1b48,roll,1,9,9.0,8,False,0.46875,-0.10831074540058623,0.03869922782875113,True
