query_id,trace_index,scenario_id,cache_tag,failure_stage,failure_reason,target_test_mode,staging_mode_used,final_pre_maneuver_mode,time_s,requested_mode,observed_mode_before,ack_result,ack,observed_mode_after,success,request_count,reason
77ddc9e0aa4f00eb_px4_acro_roll_0_paramscdfae37792_mantis_stage_b_small_rate_p_x2p0_small_step_roll_repeat0,0,px4_acro_roll,mantis_stage_b_small_rate_p_x2p0_small_step_roll_repeat0,,,ACRO,,ACRO,12.019525028998032,ACRO,TAKEOFF,0.0,result=0 progress=0 result_param2=0,ACRO,True,1,matched_requested_mode
77ddc9e0aa4f00eb_px4_acro_roll_0_paramscdfae37792_mantis_stage_b_small_rate_p_x3p0_small_step_roll_repeat0,0,px4_acro_roll,mantis_stage_b_small_rate_p_x3p0_small_step_roll_repeat0,,,ACRO,,ACRO,11.759455819003051,ACRO,TAKEOFF,0.0,result=0 progress=0 result_param2=0,ACRO,True,1,matched_requested_mode
7b6436b0c98f6238_px4_acro_roll_0_params0b218f611c_mantis_stage_b_m0_rate_i_x1p5_hover_no_input_repeat0,0,px4_acro_roll,mantis_stage_b_m0_rate_i_x1p5_hover_no_input_repeat0,,,ACRO,,ACRO,12.035060647001956,ACRO,TAKEOFF,0.0,result=0 progress=0 result_param2=0,ACRO,True,1,matched_requested_mode
7b6436b0c98f6238_px4_acro_roll_0_params122a77cb20_mantis_stage_b_m0_rate_p_x2p0_att_p_x1p5_hover_no_input_repeat0,0,px4_acro_roll,mantis_stage_b_m0_rate_p_x2p0_att_p_x1p5_hover_no_input_repeat0,,,ACRO,,ACRO,12.028634789006901,ACRO,TAKEOFF,0.0,result=0 progress=0 result_param2=0,ACRO,True,1,matched_requested_mode
7b6436b0c98f6238_px4_acro_roll_0_params2c7f0ea37a_mantis_stage_b_m0_rate_d_x0p5_hover_no_input_repeat0,0,px4_acro_roll,mantis_stage_b_m0_rate_d_x0p5_hover_no_input_repeat0,,,ACRO,,ACRO,11.986243129009381,ACRO,TAKEOFF,0.0,result=0 progress=0 result_param2=0,ACRO,True,1,matched_requested_mode
7b6436b0c98f6238_px4_acro_roll_0_params851acf5c9a_mantis_stage_b_m0_rate_d_x1p5_hover_no_input_repeat0,0,px4_acro_roll,mantis_stage_b_m0_rate_d_x1p5_hover_no_input_repeat0,,,ACRO,,ACRO,11.778420877002645,ACRO,TAKEOFF,0.0,result=0 progress=0 result_param2=0,ACRO,True,1,matched_requested_mode
7b6436b0c98f6238_px4_acro_roll_0_params8a1c96817e_mantis_stage_b_m0_rate_p_x2p0_rate_d_x0p5_hover_no_input_repeat0,0,px4_acro_roll,mantis_stage_b_m0_rate_p_x2p0_rate_d_x0p5_hover_no_input_repeat0,,,ACRO,,ACRO,13.991480954005965,ACRO,TAKEOFF,0.0,result=0 progress=0 result_param2=0,ACRO,True,1,matched_requested_mode
7b6436b0c98f6238_px4_acro_roll_0_paramsb8fe5bcbd1_mantis_stage_b_m0_rate_p_x1p5_hover_no_input_repeat0,0,px4_acro_roll,mantis_stage_b_m0_rate_p_x1p5_hover_no_input_repeat0,,,ACRO,,ACRO,11.731305359004182,ACRO,TAKEOFF,0.0,result=0 progress=0 result_param2=0,ACRO,True,1,matched_requested_mode
7b6436b0c98f6238_px4_acro_roll_0_paramscdfae37792_mantis_stage_b_m0_rate_p_x2p0_hover_no_input_repeat0,0,px4_acro_roll,mantis_stage_b_m0_rate_p_x2p0_hover_no_input_repeat0,,,ACRO,,ACRO,12.337005146007868,ACRO,TAKEOFF,0.0,result=0 progress=0 result_param2=0,ACRO,True,1,matched_requested_mode
7b6436b0c98f6238_px4_acro_roll_0_paramscdfae37792_mantis_stage_b_m0_rate_p_x3p0_hover_no_input_repeat0,0,px4_acro_roll,mantis_stage_b_m0_rate_p_x3p0_hover_no_input_repeat0,,,ACRO,,ACRO,12.025525714008836,ACRO,TAKEOFF,0.0,result=0 progress=0 result_param2=0,ACRO,True,1,matched_requested_mode
b35d770eec6854ff_px4_acro_roll_0_mantis_stage_a_default_strong_strong_step_roll_0p7_hold2_repeat0,0,px4_acro_roll,mantis_stage_a_default_strong_strong_step_roll_0p7_hold2_repeat0,,,ACRO,,ACRO,12.244041106998338,ACRO,TAKEOFF,0.0,result=0 progress=0 result_param2=0,ACRO,True,1,matched_requested_mode
b35d770eec6854ff_px4_acro_roll_0_paramsb8fe5bcbd1_mantis_stage_c_rate_p_x1p5_strong_step_roll_0p7_hold2_strong_step_roll_0p7_hold2_repeat0,0,px4_acro_roll,mantis_stage_c_rate_p_x1p5_strong_step_roll_0p7_hold2_strong_step_roll_0p7_hold2_repeat0,,,ACRO,,ACRO,12.120735399992554,ACRO,TAKEOFF,0.0,result=0 progress=0 result_param2=0,ACRO,True,1,matched_requested_mode
