series,scenario_id,property,role,k,coverage
px4_position:post_neutral_xy_velocity,px4_position,post_neutral_xy_velocity,primary,15,0.6619638746187244
px4_position:post_neutral_xy_velocity,px4_position,post_neutral_xy_velocity,primary,16,0.6893543894818365
px4_position:post_neutral_xy_velocity,px4_position,post_neutral_xy_velocity,primary,17,0.7166260842420913
px4_position:post_neutral_xy_velocity,px4_position,post_neutral_xy_velocity,primary,18,0.7412514759410446
px4_position:post_neutral_xy_velocity,px4_position,post_neutral_xy_velocity,primary,19,0.764579491450703
px4_position:post_neutral_xy_velocity,px4_position,post_neutral_xy_velocity,primary,20,0.7876235492232279
px4_position:post_neutral_xy_velocity,px4_position,post_neutral_xy_velocity,primary,21,0.8088040809434249
px4_position:post_neutral_xy_velocity,px4_position,post_neutral_xy_velocity,primary,22,0.8271174203666876
px4_position:post_neutral_xy_velocity,px4_position,post_neutral_xy_velocity,primary,23,0.8446754156583982
px4_position:post_neutral_xy_velocity,px4_position,post_neutral_xy_velocity,primary,24,0.8606294018242308
px4_position:post_neutral_xy_velocity,px4_position,post_neutral_xy_velocity,primary,25,0.8765782943506081
px4_position:post_neutral_xy_velocity,px4_position,post_neutral_xy_velocity,primary,26,0.892439872357525
px4_position:post_neutral_xy_velocity,px4_position,post_neutral_xy_velocity,primary,27,0.9067921840848763
px4_position:post_neutral_xy_velocity,px4_position,post_neutral_xy_velocity,primary,28,0.9210008314443234
px4_position:post_neutral_xy_velocity,px4_position,post_neutral_xy_velocity,primary,29,0.9344680157244656
px4_position:post_neutral_xy_velocity,px4_position,post_neutral_xy_velocity,primary,30,0.9475989253269189
px4_position:post_neutral_xy_velocity,px4_position,post_neutral_xy_velocity,primary,31,0.9583308718237671
px4_position:post_neutral_xy_velocity,px4_position,post_neutral_xy_velocity,primary,32,0.9670480965180193
px4_position:post_neutral_xy_velocity,px4_position,post_neutral_xy_velocity,primary,33,0.974865562971395
px4_position:post_neutral_xy_velocity,px4_position,post_neutral_xy_velocity,primary,34,0.9819270351681094
px4_position:post_neutral_xy_velocity,px4_position,post_neutral_xy_velocity,primary,35,0.9881276899361331
px4_position:post_neutral_xy_velocity,px4_position,post_neutral_xy_velocity,primary,36,0.9922139445737764
px4_position:post_neutral_xy_velocity,px4_position,post_neutral_xy_velocity,primary,37,0.9960502990614664
px4_position:post_neutral_xy_velocity,px4_position,post_neutral_xy_velocity,primary,38,0.9985032331606379
px4_position:post_neutral_xy_velocity,px4_position,post_neutral_xy_velocity,primary,39,0.9993378774498343
px4_position:post_neutral_xy_velocity,px4_position,post_neutral_xy_velocity,primary,40,1.0
px4_hold:post_neutral_alt_drift,px4_hold,post_neutral_alt_drift,primary,1,0.06715452728682264
px4_hold:post_neutral_alt_drift,px4_hold,post_neutral_alt_drift,primary,2,0.13162692491984818
px4_hold:post_neutral_alt_drift,px4_hold,post_neutral_alt_drift,primary,3,0.1901292954004501
px4_hold:post_neutral_alt_drift,px4_hold,post_neutral_alt_drift,primary,4,0.23653383924362834
px4_hold:post_neutral_alt_drift,px4_hold,post_neutral_alt_drift,primary,5,0.2826910116517798
px4_hold:post_neutral_alt_drift,px4_hold,post_neutral_alt_drift,primary,6,0.327268512927593
px4_hold:post_neutral_alt_drift,px4_hold,post_neutral_alt_drift,primary,7,0.3682581544922274
px4_hold:post_neutral_alt_drift,px4_hold,post_neutral_alt_drift,primary,8,0.40845309097425514
px4_hold:post_neutral_alt_drift,px4_hold,post_neutral_alt_drift,primary,9,0.44734299705102204
px4_hold:post_neutral_alt_drift,px4_hold,post_neutral_alt_drift,primary,10,0.4851966700298808
px4_hold:post_neutral_alt_drift,px4_hold,post_neutral_alt_drift,primary,11,0.5201442155988155
px4_hold:post_neutral_alt_drift,px4_hold,post_neutral_alt_drift,primary,12,0.5548580243787486
px4_hold:post_neutral_alt_drift,px4_hold,post_neutral_alt_drift,primary,13,0.5891861674568284
px4_hold:post_neutral_alt_drift,px4_hold,post_neutral_alt_drift,primary,14,0.6228267348139278
px4_hold:post_neutral_alt_drift,px4_hold,post_neutral_alt_drift,primary,15,0.6560718974362986
px4_hold:post_neutral_alt_drift,px4_hold,post_neutral_alt_drift,primary,16,0.6868842496464748
px4_hold:post_neutral_alt_drift,px4_hold,post_neutral_alt_drift,primary,17,0.7168181410913188
px4_hold:post_neutral_alt_drift,px4_hold,post_neutral_alt_drift,primary,18,0.7444984203288695
px4_hold:post_neutral_alt_drift,px4_hold,post_neutral_alt_drift,primary,19,0.7714794370059893
px4_hold:post_neutral_alt_drift,px4_hold,post_neutral_alt_drift,primary,20,0.7980631011418061
px4_hold:post_neutral_alt_drift,px4_hold,post_neutral_alt_drift,primary,21,0.8207881604525163
px4_hold:post_neutral_alt_drift,px4_hold,post_neutral_alt_drift,primary,22,0.8412615553625084
px4_hold:post_neutral_alt_drift,px4_hold,post_neutral_alt_drift,primary,23,0.8609402451898939
px4_hold:post_neutral_alt_drift,px4_hold,post_neutral_alt_drift,primary,24,0.8803287118376019
px4_hold:post_neutral_alt_drift,px4_hold,post_neutral_alt_drift,primary,25,0.8993451474294818
px4_hold:post_neutral_alt_drift,px4_hold,post_neutral_alt_drift,primary,26,0.9147932013759326
px4_hold:post_neutral_alt_drift,px4_hold,post_neutral_alt_drift,primary,27,0.9296179572183784
px4_hold:post_neutral_alt_drift,px4_hold,post_neutral_alt_drift,primary,28,0.9407613586340439
px4_hold:post_neutral_alt_drift,px4_hold,post_neutral_alt_drift,primary,29,0.9516340149357825
px4_hold:post_neutral_alt_drift,px4_hold,post_neutral_alt_drift,primary,30,0.9615230289171378
px4_hold:post_neutral_alt_drift,px4_hold,post_neutral_alt_drift,primary,31,0.9690181886177988
px4_hold:post_neutral_alt_drift,px4_hold,post_neutral_alt_drift,primary,32,0.9763185676609583
px4_hold:post_neutral_alt_drift,px4_hold,post_neutral_alt_drift,primary,33,0.9823665070763824
px4_hold:post_neutral_alt_drift,px4_hold,post_neutral_alt_drift,primary,34,0.9881982399619796
px4_hold:post_neutral_alt_drift,px4_hold,post_neutral_alt_drift,primary,35,0.9926509257924658
px4_hold:post_neutral_alt_drift,px4_hold,post_neutral_alt_drift,primary,36,0.9960440048461434
px4_hold:post_neutral_alt_drift,px4_hold,post_neutral_alt_drift,primary,37,0.9975983544930062
px4_hold:post_neutral_alt_drift,px4_hold,post_neutral_alt_drift,primary,38,0.9986365353974894
px4_hold:post_neutral_alt_drift,px4_hold,post_neutral_alt_drift,primary,39,0.9994234492537957
px4_hold:post_neutral_alt_drift,px4_hold,post_neutral_alt_drift,primary,40,1.0000000000000002
px4_hold:post_neutral_xy_drift,px4_hold,post_neutral_xy_drift,primary,1,0.07628230388578962
px4_hold:post_neutral_xy_drift,px4_hold,post_neutral_xy_drift,primary,2,0.13642504124103616
px4_hold:post_neutral_xy_drift,px4_hold,post_neutral_xy_drift,primary,3,0.1952723931519534
px4_hold:post_neutral_xy_drift,px4_hold,post_neutral_xy_drift,primary,4,0.25034389054870615
px4_hold:post_neutral_xy_drift,px4_hold,post_neutral_xy_drift,primary,5,0.30046450430334515
px4_hold:post_neutral_xy_drift,px4_hold,post_neutral_xy_drift,primary,6,0.35011059596027616
px4_hold:post_neutral_xy_drift,px4_hold,post_neutral_xy_drift,primary,7,0.39717965256240184
px4_hold:post_neutral_xy_drift,px4_hold,post_neutral_xy_drift,primary,8,0.44283753298354467
px4_hold:post_neutral_xy_drift,px4_hold,post_neutral_xy_drift,primary,9,0.4841756652866746
px4_hold:post_neutral_xy_drift,px4_hold,post_neutral_xy_drift,primary,10,0.5235690790058667
px4_hold:post_neutral_xy_drift,px4_hold,post_neutral_xy_drift,primary,11,0.5624224646372087
px4_hold:post_neutral_xy_drift,px4_hold,post_neutral_xy_drift,primary,12,0.6000223816293679
px4_hold:post_neutral_xy_drift,px4_hold,post_neutral_xy_drift,primary,13,0.636382812681234
px4_hold:post_neutral_xy_drift,px4_hold,post_neutral_xy_drift,primary,14,0.6722239324669069
px4_hold:post_neutral_xy_drift,px4_hold,post_neutral_xy_drift,primary,15,0.7067549762496599
px4_hold:post_neutral_xy_drift,px4_hold,post_neutral_xy_drift,primary,16,0.7360264324550468
px4_hold:post_neutral_xy_drift,px4_hold,post_neutral_xy_drift,primary,17,0.7637798803939148
px4_hold:post_neutral_xy_drift,px4_hold,post_neutral_xy_drift,primary,18,0.7897579184239059
px4_hold:post_neutral_xy_drift,px4_hold,post_neutral_xy_drift,primary,19,0.8151175854011403
px4_hold:post_neutral_xy_drift,px4_hold,post_neutral_xy_drift,primary,20,0.8382623152450608
px4_hold:post_neutral_xy_drift,px4_hold,post_neutral_xy_drift,primary,21,0.8527360705227882
px4_hold:post_neutral_xy_drift,px4_hold,post_neutral_xy_drift,primary,22,0.866948070755667
px4_hold:post_neutral_xy_drift,px4_hold,post_neutral_xy_drift,primary,23,0.8810215398743975
px4_hold:post_neutral_xy_drift,px4_hold,post_neutral_xy_drift,primary,24,0.894307647649309
px4_hold:post_neutral_xy_drift,px4_hold,post_neutral_xy_drift,primary,25,0.9069929895640781
px4_hold:post_neutral_xy_drift,px4_hold,post_neutral_xy_drift,primary,26,0.9194119780059387
px4_hold:post_neutral_xy_drift,px4_hold,post_neutral_xy_drift,primary,27,0.9313567761020836
px4_hold:post_neutral_xy_drift,px4_hold,post_neutral_xy_drift,primary,28,0.9413862234516586
px4_hold:post_neutral_xy_drift,px4_hold,post_neutral_xy_drift,primary,29,0.949561845618779
px4_hold:post_neutral_xy_drift,px4_hold,post_neutral_xy_drift,primary,30,0.9575283871231669
px4_hold:post_neutral_xy_drift,px4_hold,post_neutral_xy_drift,primary,31,0.9647187893548017
px4_hold:post_neutral_xy_drift,px4_hold,post_neutral_xy_drift,primary,32,0.9715377862964445
px4_hold:post_neutral_xy_drift,px4_hold,post_neutral_xy_drift,primary,33,0.9773759690637616
px4_hold:post_neutral_xy_drift,px4_hold,post_neutral_xy_drift,primary,34,0.9819246480634807
px4_hold:post_neutral_xy_drift,px4_hold,post_neutral_xy_drift,primary,35,0.9860775798021755
px4_hold:post_neutral_xy_drift,px4_hold,post_neutral_xy_drift,primary,36,0.9901905412122335
px4_hold:post_neutral_xy_drift,px4_hold,post_neutral_xy_drift,primary,37,0.9937505832183022
px4_hold:post_neutral_xy_drift,px4_hold,post_neutral_xy_drift,primary,38,0.9972935655276192
px4_hold:post_neutral_xy_drift,px4_hold,post_neutral_xy_drift,primary,39,0.9987613972030048
px4_hold:post_neutral_xy_drift,px4_hold,post_neutral_xy_drift,primary,40,1.0
px4_hold:post_neutral_xy_velocity,px4_hold,post_neutral_xy_velocity,primary,1,0.0729676188286427
px4_hold:post_neutral_xy_velocity,px4_hold,post_neutral_xy_velocity,primary,2,0.14325577032917972
px4_hold:post_neutral_xy_velocity,px4_hold,post_neutral_xy_velocity,primary,3,0.21021503333942781
px4_hold:post_neutral_xy_velocity,px4_hold,post_neutral_xy_velocity,primary,4,0.2691422704586712
px4_hold:post_neutral_xy_velocity,px4_hold,post_neutral_xy_velocity,primary,5,0.32031501325142625
px4_hold:post_neutral_xy_velocity,px4_hold,post_neutral_xy_velocity,primary,6,0.3639990942243811
px4_hold:post_neutral_xy_velocity,px4_hold,post_neutral_xy_velocity,primary,7,0.4064576793121592
px4_hold:post_neutral_xy_velocity,px4_hold,post_neutral_xy_velocity,primary,8,0.448121407465549
px4_hold:post_neutral_xy_velocity,px4_hold,post_neutral_xy_velocity,primary,9,0.4835916245669716
px4_hold:post_neutral_xy_velocity,px4_hold,post_neutral_xy_velocity,primary,10,0.5190418553150934
px4_hold:post_neutral_xy_velocity,px4_hold,post_neutral_xy_velocity,primary,11,0.5544627095593068
px4_hold:post_neutral_xy_velocity,px4_hold,post_neutral_xy_velocity,primary,12,0.5871082535697628
px4_hold:post_neutral_xy_velocity,px4_hold,post_neutral_xy_velocity,primary,13,0.6192988141224121
px4_hold:post_neutral_xy_velocity,px4_hold,post_neutral_xy_velocity,primary,14,0.649773673164183
px4_hold:post_neutral_xy_velocity,px4_hold,post_neutral_xy_velocity,primary,15,0.6784606083506525
px4_hold:post_neutral_xy_velocity,px4_hold,post_neutral_xy_velocity,primary,16,0.7050759851752114
px4_hold:post_neutral_xy_velocity,px4_hold,post_neutral_xy_velocity,primary,17,0.7299288531169171
px4_hold:post_neutral_xy_velocity,px4_hold,post_neutral_xy_velocity,primary,18,0.7546211356332461
px4_hold:post_neutral_xy_velocity,px4_hold,post_neutral_xy_velocity,primary,19,0.7789890890378991
px4_hold:post_neutral_xy_velocity,px4_hold,post_neutral_xy_velocity,primary,20,0.8007582788634902
px4_hold:post_neutral_xy_velocity,px4_hold,post_neutral_xy_velocity,primary,21,0.821739415013625
px4_hold:post_neutral_xy_velocity,px4_hold,post_neutral_xy_velocity,primary,22,0.8393412795326733
px4_hold:post_neutral_xy_velocity,px4_hold,post_neutral_xy_velocity,primary,23,0.8556432685330043
px4_hold:post_neutral_xy_velocity,px4_hold,post_neutral_xy_velocity,primary,24,0.8716548344795084
px4_hold:post_neutral_xy_velocity,px4_hold,post_neutral_xy_velocity,primary,25,0.8874698113827707
px4_hold:post_neutral_xy_velocity,px4_hold,post_neutral_xy_velocity,primary,26,0.902728449385232
px4_hold:post_neutral_xy_velocity,px4_hold,post_neutral_xy_velocity,primary,27,0.9148405262037047
px4_hold:post_neutral_xy_velocity,px4_hold,post_neutral_xy_velocity,primary,28,0.9266978177236385
px4_hold:post_neutral_xy_velocity,px4_hold,post_neutral_xy_velocity,primary,29,0.9371885889514241
px4_hold:post_neutral_xy_velocity,px4_hold,post_neutral_xy_velocity,primary,30,0.94632809149391
px4_hold:post_neutral_xy_velocity,px4_hold,post_neutral_xy_velocity,primary,31,0.9553995713176491
px4_hold:post_neutral_xy_velocity,px4_hold,post_neutral_xy_velocity,primary,32,0.9641607215160487
px4_hold:post_neutral_xy_velocity,px4_hold,post_neutral_xy_velocity,primary,33,0.9723055392758252
px4_hold:post_neutral_xy_velocity,px4_hold,post_neutral_xy_velocity,primary,34,0.978899557521222
px4_hold:post_neutral_xy_velocity,px4_hold,post_neutral_xy_velocity,primary,35,0.9842749415108772
px4_hold:post_neutral_xy_velocity,px4_hold,post_neutral_xy_velocity,primary,36,0.9881623697243772
px4_hold:post_neutral_xy_velocity,px4_hold,post_neutral_xy_velocity,primary,37,0.9920373371173542
px4_hold:post_neutral_xy_velocity,px4_hold,post_neutral_xy_velocity,primary,38,0.9958284753853985
px4_hold:post_neutral_xy_velocity,px4_hold,post_neutral_xy_velocity,primary,39,0.9994733906980854
px4_hold:post_neutral_xy_velocity,px4_hold,post_neutral_xy_velocity,primary,40,1.0
