query_id,cache_tag,maneuver,axis,C_track_available,C_track_axis,baseline_nte_median,nte_threshold,peak_err_threshold_radps,high_err_duration_threshold_s,baseline_ratio_threshold,overlap_threshold_s,active_window_available,C_track_status,C_track_safe,C_track_violation,C_track_unavailable_reason,active_window_start_s,active_window_end_s,rms_sp,rms_err,nte,peak_err,high_err_duration_s,saturation_error_overlap_s,explicit_limit_or_saturation_during_high_error,baseline_ratio_ok,nonlinear_observable,nonlinear_activated_in_active_window,raw_log_path
77ddc9e0aa4f00eb_px4_acro_roll_0_params8c0dab9d72_boundary_rate_d_high_x2p5_Msmall_small_step_roll_repeat0,boundary_rate_d_high_x2p5_Msmall_small_step_roll_repeat0,small_step_roll,roll,True,roll,,0.65,1.0,0.25,2.5,0.2,False,safe,True,False,,1781000210.062,1781000210.062,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,,runs/mantis_witness_px4_roll_lowheadroom_seed0_v0/queries/77ddc9e0aa4f00eb_px4_acro_roll_0_params8c0dab9d72_boundary_rate_d_high_x2p5_Msmall_small_step_roll_repeat0/raw_log.ulg
7b6436b0c98f6238_px4_acro_roll_0_params2a311b5814_boundary_rate_d_low_x0p35_M0_hover_no_input_repeat0,boundary_rate_d_low_x0p35_M0_hover_no_input_repeat0,hover_no_input,roll,True,roll,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1781000173.749,1781000173.765,0.08110227200690287,0.07648635669849074,0.30594542679396297,0.08419611630961299,0.0,0.0,False,False,True,True,runs/mantis_witness_px4_roll_lowheadroom_seed0_v0/queries/7b6436b0c98f6238_px4_acro_roll_0_params2a311b5814_boundary_rate_d_low_x0p35_M0_hover_no_input_repeat0/raw_log.ulg
77ddc9e0aa4f00eb_px4_acro_roll_0_params2a311b5814_boundary_rate_d_low_x0p35_Msmall_small_step_roll_repeat0,boundary_rate_d_low_x0p35_Msmall_small_step_roll_repeat0,small_step_roll,roll,True,roll,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1781000288.609,1781000288.817,0.3490658700466156,0.021850741709573022,0.06259776043603171,0.046430736780166626,0.0,0.0,False,False,True,True,runs/mantis_witness_px4_roll_lowheadroom_seed0_v0/queries/77ddc9e0aa4f00eb_px4_acro_roll_0_params2a311b5814_boundary_rate_d_low_x0p35_Msmall_small_step_roll_repeat0/raw_log.ulg
7b6436b0c98f6238_px4_acro_roll_0_paramseacc349037_boundary_att_p_x2_M0_hover_no_input_repeat0,boundary_att_p_x2_M0_hover_no_input_repeat0,hover_no_input,roll,True,roll,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1781000250.237,1781000250.257,0.0829190316513233,0.08497819318910191,0.33991277275640763,0.09727981709875166,0.0,0.0,False,False,True,True,runs/mantis_witness_px4_roll_lowheadroom_seed0_v0/queries/7b6436b0c98f6238_px4_acro_roll_0_paramseacc349037_boundary_att_p_x2_M0_hover_no_input_repeat0/raw_log.ulg
77ddc9e0aa4f00eb_px4_acro_roll_0_paramseacc349037_boundary_att_p_x2_Msmall_small_step_roll_repeat0,boundary_att_p_x2_Msmall_small_step_roll_repeat0,small_step_roll,roll,True,roll,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1781000364.92,1781000365.108,0.3490658700466156,0.016225209414888527,0.04648179844314699,0.030551217764623106,0.0,0.0,False,False,True,True,runs/mantis_witness_px4_roll_lowheadroom_seed0_v0/queries/77ddc9e0aa4f00eb_px4_acro_roll_0_paramseacc349037_boundary_att_p_x2_Msmall_small_step_roll_repeat0/raw_log.ulg
7b6436b0c98f6238_px4_acro_roll_0_params9a9418ebfe_boundary_rate_p_boundary_low_d_M0_hover_no_input_repeat0,boundary_rate_p_boundary_low_d_M0_hover_no_input_repeat0,hover_no_input,roll,True,roll,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1781000327.713,1781000331.333,0.056229716454173566,0.06174676843509366,0.24698707374037465,0.24428038857877254,0.0,0.0,False,False,True,True,runs/mantis_witness_px4_roll_lowheadroom_seed0_v0/queries/7b6436b0c98f6238_px4_acro_roll_0_params9a9418ebfe_boundary_rate_p_boundary_low_d_M0_hover_no_input_repeat0/raw_log.ulg
77ddc9e0aa4f00eb_px4_acro_roll_0_params9a9418ebfe_boundary_rate_p_boundary_low_d_Msmall_small_step_roll_repeat0,boundary_rate_p_boundary_low_d_Msmall_small_step_roll_repeat0,small_step_roll,roll,True,roll,,0.65,1.0,0.25,2.5,0.2,False,safe,True,False,,1781000442.89,1781000442.89,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,,runs/mantis_witness_px4_roll_lowheadroom_seed0_v0/queries/77ddc9e0aa4f00eb_px4_acro_roll_0_params9a9418ebfe_boundary_rate_p_boundary_low_d_Msmall_small_step_roll_repeat0/raw_log.ulg
7b6436b0c98f6238_px4_acro_roll_0_params5213d7259a_boundary_rate_p_boundary_high_i_M0_hover_no_input_repeat0,boundary_rate_p_boundary_high_i_M0_hover_no_input_repeat0,hover_no_input,roll,True,roll,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1781000405.8,1781000408.64,0.05541890214084023,0.06293052099911735,0.2517220839964694,0.32162608951330185,0.0,0.0,False,False,True,True,runs/mantis_witness_px4_roll_lowheadroom_seed0_v0/queries/7b6436b0c98f6238_px4_acro_roll_0_params5213d7259a_boundary_rate_p_boundary_high_i_M0_hover_no_input_repeat0/raw_log.ulg
77ddc9e0aa4f00eb_px4_acro_roll_0_params5213d7259a_boundary_rate_p_boundary_high_i_Msmall_small_step_roll_repeat0,boundary_rate_p_boundary_high_i_Msmall_small_step_roll_repeat0,small_step_roll,roll,True,roll,,0.65,1.0,0.25,2.5,0.2,False,safe,True,False,,1781000520.103,1781000520.103,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,,runs/mantis_witness_px4_roll_lowheadroom_seed0_v0/queries/77ddc9e0aa4f00eb_px4_acro_roll_0_params5213d7259a_boundary_rate_p_boundary_high_i_Msmall_small_step_roll_repeat0/raw_log.ulg
7b6436b0c98f6238_px4_acro_roll_0_params036d0eb4fc_boundary_att_p_boundary_rate_p_M0_hover_no_input_repeat0,boundary_att_p_boundary_rate_p_M0_hover_no_input_repeat0,hover_no_input,roll,True,roll,,0.65,1.0,0.25,2.5,0.2,False,safe,True,False,,1781000483.415,1781000483.415,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,,runs/mantis_witness_px4_roll_lowheadroom_seed0_v0/queries/7b6436b0c98f6238_px4_acro_roll_0_params036d0eb4fc_boundary_att_p_boundary_rate_p_M0_hover_no_input_repeat0/raw_log.ulg
77ddc9e0aa4f00eb_px4_acro_roll_0_params036d0eb4fc_boundary_att_p_boundary_rate_p_Msmall_small_step_roll_repeat0,boundary_att_p_boundary_rate_p_Msmall_small_step_roll_repeat0,small_step_roll,roll,True,roll,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1781000598.392,1781000598.584,0.3490658700466156,0.1832224081221867,0.5248935053367391,0.3444280584816812,0.0,0.0,False,False,True,True,runs/mantis_witness_px4_roll_lowheadroom_seed0_v0/queries/77ddc9e0aa4f00eb_px4_acro_roll_0_params036d0eb4fc_boundary_att_p_boundary_rate_p_Msmall_small_step_roll_repeat0/raw_log.ulg
