eval_id,trigger_id,phase,label,theta_hash,theta_path,repeats,point_elapsed_wall_time_s,max_abs_theta,support_size_abs_gt_0p1,active_channels_abs_gt_0p1,active_group_ids_abs_gt_0p1,robustness_class,is_robust_violation_2sigma,rho_mean_post_neutral_xy_drift,rho_std_post_neutral_xy_drift,rho_min_post_neutral_xy_drift,rho_max_post_neutral_xy_drift,rho_nonpositive_post_neutral_xy_drift,rho_mean_post_neutral_alt_drift,rho_std_post_neutral_alt_drift,rho_min_post_neutral_alt_drift,rho_max_post_neutral_alt_drift,rho_nonpositive_post_neutral_alt_drift,rho_mean_post_neutral_xy_velocity,rho_std_post_neutral_xy_velocity,rho_min_post_neutral_xy_velocity,rho_max_post_neutral_xy_velocity,rho_nonpositive_post_neutral_xy_velocity
29,0,support_ddmin,outer0_remove_02_of_21,12816a11b68e8a24,runs/direction_a_ddmin_px4_position_seed0_v1/thetas/T00_00029_12816a11b68e8a24.npy,5,98.7982987180003,0.4519552994823258,19,"pitch,roll,throttle,yaw","7,8,11,12,16,17,19,20,21,22,23,25,26,29,32,33,37,38,39",robust_violation,True,0.9347063382453544,0.0421946947611787,0.8701155772399682,0.9720921292853202,0,0.9501858711242676,0.006917997322753511,0.942690372467041,0.9576582908630371,0,-0.09725869678806295,0.02774660339485685,-0.13231262183513293,-0.06037501194344963,5
30,0,support_ddmin,outer0_remove_02_of_19,92a47d3c9d085bfb,runs/direction_a_ddmin_px4_position_seed0_v1/thetas/T00_00030_92a47d3c9d085bfb.npy,5,101.59428467904218,0.4519552994823258,17,"pitch,roll,throttle,yaw","11,12,16,17,19,20,21,22,23,25,26,29,32,33,37,38,39",robust_violation,True,0.9992991317281014,0.04219989880116713,0.9455349834890858,1.0600629434555735,0,0.9559539794921875,0.004482620679493766,0.9490618705749512,0.9592876434326172,0,-0.037384327027020256,0.01616071665602454,-0.052288142815094085,-0.014472201399846174,5
31,0,support_ddmin,outer0_remove_02_of_17,229f92c5c569ae0e,runs/direction_a_ddmin_px4_position_seed0_v1/thetas/T00_00031_229f92c5c569ae0e.npy,5,101.93465831404319,0.4519552994823258,15,"pitch,roll,throttle,yaw","16,17,19,20,21,22,23,25,26,29,32,33,37,38,39",noise_band,False,1.1067645328825244,0.06249282253487527,1.0206283737199504,1.1732129367627033,0,0.9541195869445801,0.005404759548008705,0.9498634338378906,0.9631729125976562,0,0.06365874993682596,0.044794051004836306,0.007751652157241384,0.11697783118914395,0
32,0,support_ddmin,outer0_remove_02_of_17,0b7645324d18a22d,runs/direction_a_ddmin_px4_position_seed0_v1/thetas/T00_00032_0b7645324d18a22d.npy,5,99.03046852099942,0.4519552994823258,15,"pitch,roll,throttle,yaw","11,12,19,20,21,22,23,25,26,29,32,33,37,38,39",robust_safe,False,1.205607726052405,0.04546137856652806,1.1731137774981728,1.2852220214498167,0,0.9539847373962402,0.008560861435454568,0.9447345733642578,0.967526912689209,0,0.16155302968094012,0.030676317688570504,0.13715565154659237,0.2076529792071562,0
33,0,amplitude_bisection,outer0_iter00_scale0p5000,416a0d8d55039abb,runs/direction_a_ddmin_px4_position_seed0_v1/thetas/T00_00033_416a0d8d55039abb.npy,5,102.97493755299365,0.2259776497411629,9,"pitch,roll,throttle,yaw","12,17,21,25,29,33,37,38,39",robust_safe,False,1.8118090109381022,0.012601431783971904,1.7982379775448336,1.828797649806643,0,0.9902735710144043,0.002624919398450948,0.9878759384155273,0.993415355682373,0,0.7443135343004252,0.01334319894300958,0.7347186905991219,0.7662339164924338,0
34,0,amplitude_bisection,outer0_iter01_scale0p7500,df9fc47ef9388f74,runs/direction_a_ddmin_px4_position_seed0_v1/thetas/T00_00034_df9fc47ef9388f74.npy,5,102.02063641400309,0.33896647461174434,15,"pitch,roll,throttle,yaw","11,12,16,17,20,21,23,25,26,29,32,33,37,38,39",robust_safe,False,1.4923559527015673,0.016961963673321055,1.4769920085529509,1.514583914731987,0,0.9780858993530274,0.0029389306998048037,0.9746298789978027,0.9820442199707031,0,0.4076618069175487,0.020004910243317676,0.38197356812258154,0.4354839611397141,0
35,0,amplitude_bisection,outer0_iter02_scale0p8750,5f413f6ed37fa5cd,runs/direction_a_ddmin_px4_position_seed0_v1/thetas/T00_00035_5f413f6ed37fa5cd.npy,5,101.5856574770296,0.3954608870470351,16,"pitch,roll,throttle,yaw","11,12,16,17,20,21,22,23,25,26,29,32,33,37,38,39",robust_safe,False,1.2653371177655857,0.028207208392497046,1.2332222778695978,1.302710857556543,0,0.9649651527404786,0.004394316155787404,0.9600381851196289,0.9719085693359375,0,0.18942518870086944,0.009496852385116526,0.17636885165476235,0.20285885248068436,0
36,0,amplitude_bisection,outer0_iter03_scale0p9375,45c56aace881a2fb,runs/direction_a_ddmin_px4_position_seed0_v1/thetas/T00_00036_45c56aace881a2fb.npy,5,98.83575335802743,0.42370809326468045,17,"pitch,roll,throttle,yaw","11,12,16,17,19,20,21,22,23,25,26,29,32,33,37,38,39",robust_safe,False,1.1376020823428548,0.013772653879974828,1.1220082451713602,1.1562666380779791,0,0.9586006164550781,0.0029064511794023753,0.9550862312316895,0.9617257118225098,0,0.08442300522178003,0.012087040860140008,0.07185897841713063,0.10166513369626462,0
37,0,amplitude_bisection,outer0_iter04_scale0p9688,a050b6029201f493,runs/direction_a_ddmin_px4_position_seed0_v1/thetas/T00_00037_a050b6029201f493.npy,5,98.75404503202299,0.43783169637350317,17,"pitch,roll,throttle,yaw","11,12,16,17,19,20,21,22,23,25,26,29,32,33,37,38,39",noise_band,False,1.0626838608318971,0.044933618092083794,0.9879471325583729,1.1027557134741715,0,0.9561657905578613,0.005910152170191399,0.9498586654663086,0.9657464027404785,0,0.03562866579353765,0.046279327121946295,-0.0024013278389203307,0.11506262354994024,1
38,0,amplitude_bisection,outer0_iter05_scale0p9844,8708143912c0017c,runs/direction_a_ddmin_px4_position_seed0_v1/thetas/T00_00038_8708143912c0017c.npy,5,98.96959062700626,0.4448934979279145,17,"pitch,roll,throttle,yaw","11,12,16,17,19,20,21,22,23,25,26,29,32,33,37,38,39",noise_band,False,1.1411454916163095,0.06494886866445104,1.0703362438598316,1.2425941567113739,0,0.9575937271118165,0.005310432796680188,0.9491815567016602,0.9622678756713867,0,0.07681261227908273,0.04097750482209319,0.03541359916313869,0.13965012652811504,0
39,0,amplitude_bisection,outer0_iter06_scale0p9922,b25c2c1904ab5b52,runs/direction_a_ddmin_px4_position_seed0_v1/thetas/T00_00039_b25c2c1904ab5b52.npy,5,99.26759768102784,0.44842439870512013,17,"pitch,roll,throttle,yaw","11,12,16,17,19,20,21,22,23,25,26,29,32,33,37,38,39",noise_band,False,1.0284322280605867,0.03526067339827394,0.9841975672510401,1.0722674224472897,0,0.9518344879150391,0.0046070280928140325,0.9453086853027344,0.9582886695861816,0,-0.0121951417082518,0.027257766125189913,-0.0393425349499239,0.020195550321545963,3
40,1,whole_channel,zero_throttle,a5dd7f4e24a3d892,runs/direction_a_ddmin_px4_position_seed0_v1/thetas/T01_00040_a5dd7f4e24a3d892.npy,5,101.96346817095764,0.4947269496917144,27,"pitch,roll,yaw","0,2,4,6,8,10,12,13,14,16,17,18,20,21,22,24,25,26,28,29,30,32,33,34,36,37,38",robust_violation,True,0.4627943975509762,0.03191342707823498,0.4352044664207264,0.5111978588456652,0,0.9885479927062988,0.0028983013207118267,0.9843697547912598,0.9915432929992676,0,-0.43899227046649847,0.018150930911182053,-0.45019277862507345,-0.4071327478137281,5
